epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,446.723,1.9652,1.98937,1.39967,0.50338,0.50054,0.42698,0.1251,2.34655,1.79909,1.53078,0.000663176,0.000663176,0.000663176
2,841.083,1.89496,1.55288,1.37542,0.5404,0.50928,0.50122,0.1769,2.15691,1.84482,1.47432,0.00131668,0.00131668,0.00131668
3,1232.48,1.88901,1.4927,1.3743,0.4308,0.48923,0.36427,0.10307,2.43789,1.96827,1.61825,0.00195698,0.00195698,0.00195698
4,1623.07,1.80397,1.40731,1.34631,0.56095,0.53299,0.52077,0.18057,2.18092,1.5907,1.4465,0.0019406,0.0019406,0.0019406
5,2013.81,1.78087,1.3559,1.32344,0.61187,0.57835,0.57795,0.21342,2.08831,1.77416,1.41139,0.0019208,0.0019208,0.0019208
6,2404.03,1.75649,1.30703,1.3138,0.66457,0.61443,0.63663,0.2301,2.09019,1.3975,1.4012,0.001901,0.001901,0.001901
7,2793.82,1.71467,1.2681,1.29368,0.61831,0.59955,0.59806,0.27265,1.77235,1.45879,1.25567,0.0018812,0.0018812,0.0018812
8,3183.08,1.70626,1.26249,1.2912,0.7308,0.65258,0.68612,0.27873,1.97819,1.25426,1.32502,0.0018614,0.0018614,0.0018614
9,3572.89,1.66152,1.20539,1.26733,0.73961,0.60322,0.69999,0.31886,1.76226,1.23306,1.24302,0.0018416,0.0018416,0.0018416
10,3963.33,1.63359,1.19439,1.2575,0.695,0.65155,0.69573,0.31929,1.81504,1.26961,1.27914,0.0018218,0.0018218,0.0018218
11,4353.08,1.62185,1.16855,1.25731,0.75013,0.70565,0.75437,0.32816,1.89407,1.18724,1.303,0.001802,0.001802,0.001802
12,4743.93,1.60562,1.12186,1.23982,0.7437,0.71546,0.75434,0.34612,1.79345,1.25673,1.2519,0.0017822,0.0017822,0.0017822
13,5134.52,1.59587,1.11955,1.23804,0.75399,0.66353,0.72489,0.31209,1.83561,1.1905,1.24477,0.0017624,0.0017624,0.0017624
14,5523.56,1.58115,1.11063,1.2312,0.73576,0.64845,0.708,0.33053,1.71746,1.15314,1.18642,0.0017426,0.0017426,0.0017426
15,5913.15,1.56732,1.07741,1.21706,0.76186,0.70309,0.76463,0.35806,1.79619,1.28262,1.27308,0.0017228,0.0017228,0.0017228
16,6303.67,1.5529,1.06622,1.21414,0.69068,0.65377,0.66445,0.31435,1.7125,1.25918,1.21229,0.001703,0.001703,0.001703
17,6701.8,1.53641,1.05275,1.20598,0.78522,0.73505,0.79168,0.38919,1.71802,1.11977,1.21311,0.0016832,0.0016832,0.0016832
18,7092.9,1.51601,1.03078,1.20099,0.79672,0.74749,0.80499,0.39725,1.68281,1.09758,1.20575,0.0016634,0.0016634,0.0016634
19,7482.71,1.51639,1.02952,1.20258,0.76071,0.70619,0.76291,0.34226,1.81602,1.1299,1.26121,0.0016436,0.0016436,0.0016436
20,7872.57,1.50504,1.03734,1.19939,0.78439,0.70825,0.78167,0.39011,1.65903,1.0906,1.21898,0.0016238,0.0016238,0.0016238
21,8262.65,1.49197,1.01707,1.19028,0.78437,0.70874,0.765,0.36,1.73036,1.08795,1.21612,0.001604,0.001604,0.001604
22,8653.48,1.48889,0.99258,1.19081,0.79019,0.71649,0.79721,0.40441,1.63145,1.04652,1.18346,0.0015842,0.0015842,0.0015842
23,9042.41,1.46444,0.97671,1.16808,0.76165,0.72806,0.77115,0.38243,1.70765,1.15327,1.21948,0.0015644,0.0015644,0.0015644
24,9432.81,1.46732,0.98408,1.17728,0.76389,0.73711,0.77766,0.36024,1.7387,1.0615,1.21758,0.0015446,0.0015446,0.0015446
25,9822.7,1.46159,0.96623,1.16739,0.8169,0.7134,0.78854,0.37149,1.67794,1.03414,1.17791,0.0015248,0.0015248,0.0015248
